Institution,Cohort Year,Major,Median earnings: full-time workers
All Institutions,1 year after graduation,All Majors,"$46,400 "
All Institutions,1 year after graduation,All Majors,"$54,500 "
All Institutions,1 year after graduation,All Majors,**
All Institutions,5 years after graduation,All Majors,"$63,700 "
All Institutions,5 years after graduation,All Majors,"$70,000 "
All Institutions,5 years after graduation,All Majors,"$78,400 "
All Institutions,10 years after graduation,All Majors,"$72,900 "
All Institutions,10 years after graduation,All Majors,"$82,300 "
All Institutions,10 years after graduation,All Majors,"$109,400 "
All Institutions,1 year after graduation,Accounting,"$54,700 "
All Institutions,1 year after graduation,Accounting,"$57,300 "
All Institutions,1 year after graduation,Accounting,**
All Institutions,5 years after graduation,Accounting,"$72,800 "
All Institutions,5 years after graduation,Accounting,"$86,900 "
All Institutions,5 years after graduation,Accounting,**
All Institutions,10 years after graduation,Accounting,"$84,100 "
All Institutions,10 years after graduation,Accounting,"$108,500 "
All Institutions,10 years after graduation,Accounting,**
All Institutions,1 year after graduation,Actuarial Science,"$61,400 "
All Institutions,1 year after graduation,Actuarial Science,**
All Institutions,1 year after graduation,Actuarial Science,**
All Institutions,5 years after graduation,Actuarial Science,"$97,700 "
All Institutions,5 years after graduation,Actuarial Science,**
All Institutions,5 years after graduation,Actuarial Science,**
All Institutions,10 years after graduation,Actuarial Science,"$105,800 "
All Institutions,10 years after graduation,Actuarial Science,"$102,700 "
All Institutions,10 years after graduation,Actuarial Science,**
All Institutions,1 year after graduation,Advertising,"$45,900 "
All Institutions,1 year after graduation,Advertising,**
All Institutions,1 year after graduation,Advertising,**
All Institutions,5 years after graduation,Advertising,"$74,700 "
All Institutions,5 years after graduation,Advertising,"$73,700 "
All Institutions,5 years after graduation,Advertising,**
All Institutions,10 years after graduation,Advertising,"$92,000 "
All Institutions,10 years after graduation,Advertising,"$86,200 "
All Institutions,10 years after graduation,Advertising,**
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$73,100 "
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,1 year after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$94,700 "
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$105,600 "
All Institutions,5 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering",**
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$116,400 "
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$127,100 "
All Institutions,10 years after graduation,"Aerospace, Aeronautical and Astronautical/Space Engineering","$128,300 "
All Institutions,1 year after graduation,African-American/Black Studies,"$36,500 "
All Institutions,1 year after graduation,African-American/Black Studies,**
All Institutions,1 year after graduation,African-American/Black Studies,**
All Institutions,5 years after graduation,African-American/Black Studies,"$46,500 "
All Institutions,5 years after graduation,African-American/Black Studies,"$56,600 "
All Institutions,5 years after graduation,African-American/Black Studies,**
All Institutions,10 years after graduation,African-American/Black Studies,"$49,900 "
All Institutions,10 years after graduation,African-American/Black Studies,**
All Institutions,10 years after graduation,African-American/Black Studies,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,"$60,300 "
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,5 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,"$54,600 "
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,10 years after graduation,Agribusiness/Agricultural Business Operations,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,5 years after graduation,Agricultural and Food Products Processing,**
All Institutions,10 years after graduation,Agricultural and Food Products Processing,"$100,000 "
All Institutions,10 years after graduation,Agricultural and Food Products Processing,**
All Institutions,10 years after graduation,Agricultural and Food Products Processing,**
All Institutions,1 year after graduation,Agricultural Economics,"$48,600 "
All Institutions,1 year after graduation,Agricultural Economics,**
All Institutions,1 year after graduation,Agricultural Economics,**
All Institutions,5 years after graduation,Agricultural Economics,"$68,400 "
All Institutions,5 years after graduation,Agricultural Economics,"$73,900 "
All Institutions,5 years after graduation,Agricultural Economics,**
All Institutions,10 years after graduation,Agricultural Economics,"$89,300 "
All Institutions,10 years after graduation,Agricultural Economics,"$98,500 "
All Institutions,10 years after graduation,Agricultural Economics,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,1 year after graduation,Agricultural Engineering,**
All Institutions,5 years after graduation,Agricultural Engineering,"$69,700 "
All Institutions,5 years after graduation,Agricultural Engineering,**
All Institutions,5 years after graduation,Agricultural Engineering,**
All Institutions,10 years after graduation,Agricultural Engineering,"$93,800 "
All Institutions,10 years after graduation,Agricultural Engineering,"$107,600 "
All Institutions,10 years after graduation,Agricultural Engineering,"$124,400 "
All Institutions,1 year after graduation,Agricultural Teacher Education,"$48,900 "
All Institutions,1 year after graduation,Agricultural Teacher Education,**
All Institutions,1 year after graduation,Agricultural Teacher Education,**
All Institutions,5 years after graduation,Agricultural Teacher Education,"$53,400 "
All Institutions,5 years after graduation,Agricultural Teacher Education,"$75,000 "
All Institutions,5 years after graduation,Agricultural Teacher Education,**
All Institutions,10 years after graduation,Agricultural Teacher Education,"$65,300 "
All Institutions,10 years after graduation,Agricultural Teacher Education,"$70,000 "
All Institutions,10 years after graduation,Agricultural Teacher Education,**
All Institutions,1 year after graduation,"Agriculture, General","$35,700 "
All Institutions,1 year after graduation,"Agriculture, General",**
All Institutions,1 year after graduation,"Agriculture, General",**
All Institutions,5 years after graduation,"Agriculture, General","$46,500 "
All Institutions,5 years after graduation,"Agriculture, General",**
All Institutions,5 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,10 years after graduation,"Agriculture, General",**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,5 years after graduation,American/United States Studies/Civilization,**
All Institutions,10 years after graduation,American/United States Studies/Civilization,"$58,500 "
All Institutions,10 years after graduation,American/United States Studies/Civilization,**
All Institutions,10 years after graduation,American/United States Studies/Civilization,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,5 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,10 years after graduation,Ancient/Classical Greek Language and Literature,**
All Institutions,1 year after graduation,"Animal Sciences, General","$33,200 "
All Institutions,1 year after graduation,"Animal Sciences, General",**
All Institutions,1 year after graduation,"Animal Sciences, General",**
All Institutions,5 years after graduation,"Animal Sciences, General","$54,400 "
All Institutions,5 years after graduation,"Animal Sciences, General","$51,100 "
All Institutions,5 years after graduation,"Animal Sciences, General","$109,800 "
All Institutions,10 years after graduation,"Animal Sciences, General","$61,700 "
All Institutions,10 years after graduation,"Animal Sciences, General","$72,100 "
All Institutions,10 years after graduation,"Animal Sciences, General","$123,400 "
All Institutions,1 year after graduation,Anthropology,"$34,100 "
All Institutions,1 year after graduation,Anthropology,**
All Institutions,1 year after graduation,Anthropology,**
All Institutions,5 years after graduation,Anthropology,"$46,200 "
All Institutions,5 years after graduation,Anthropology,"$54,900 "
All Institutions,5 years after graduation,Anthropology,"$78,100 "
All Institutions,10 years after graduation,Anthropology,"$58,200 "
All Institutions,10 years after graduation,Anthropology,"$68,000 "
All Institutions,10 years after graduation,Anthropology,"$87,300 "
All Institutions,1 year after graduation,"Apparel and Textiles, General","$44,900 "
All Institutions,1 year after graduation,"Apparel and Textiles, General",**
All Institutions,1 year after graduation,"Apparel and Textiles, General",**
All Institutions,5 years after graduation,"Apparel and Textiles, General","$68,600 "
All Institutions,5 years after graduation,"Apparel and Textiles, General","$88,100 "
All Institutions,5 years after graduation,"Apparel and Textiles, General",**
All Institutions,10 years after graduation,"Apparel and Textiles, General","$80,800 "
All Institutions,10 years after graduation,"Apparel and Textiles, General","$75,400 "
All Institutions,10 years after graduation,"Apparel and Textiles, General",**
All Institutions,1 year after graduation,"Applied Mathematics, General",**
All Institutions,1 year after graduation,"Applied Mathematics, General",**
